datetime,frame_id,drone_id,worker_id,proc_latency_ms
2020-06-12 00:00:00.000000,1,1,6,34.03446835186664
2020-06-12 00:00:00.001000,2,1,2,34.47849848488499
2020-06-12 00:00:00.002000,3,1,6,30.708751835128314
2020-06-12 00:00:00.003000,4,1,4,31.795159614295663
2020-06-12 00:00:00.004000,5,1,1,33.59070982512153
2020-06-12 00:00:00.005000,6,1,2,32.16105704749258
2020-06-12 00:00:00.006000,7,1,2,31.8540016119614
2020-06-12 00:00:00.007000,8,1,1,32.856854612853525
2020-06-12 00:00:00.008000,9,1,4,30.676320880483107
2020-06-12 00:00:00.009000,10,1,5,31.684885088260202
2020-06-12 00:00:00.010000,11,1,1,30.397615046012852
2020-06-12 00:00:00.011000,12,1,4,30.589027849795272
2020-06-12 00:00:00.012000,13,1,6,32.841096260512494
2020-06-12 00:00:00.013000,14,1,3,31.248250470770735
2020-06-12 00:00:00.014000,15,1,3,32.06558963694543
2020-06-12 00:00:00.015000,16,1,6,32.66473641854516
2020-06-12 00:00:00.016000,17,1,1,31.303391943818333
2020-06-12 00:00:00.017000,18,1,4,32.76112293430543
2020-06-12 00:00:00.018000,19,1,4,33.52302678188005
2020-06-12 00:00:00.019000,20,1,2,32.22468516384378
2020-06-12 00:00:00.020000,21,1,3,32.297093581115696
2020-06-12 00:00:00.021000,22,1,5,33.661998306957706
2020-06-12 00:00:00.022000,23,1,5,30.392415686143302
2020-06-12 00:00:00.023000,24,1,2,32.76264584386682
2020-06-12 00:00:00.024000,25,1,2,30.177697887706397
2020-06-12 00:00:00.025000,26,1,3,33.62902784182549
2020-06-12 00:00:00.026000,27,1,5,32.832192765541656
2020-06-12 00:00:00.027000,28,1,6,34.56628280988594
2020-06-12 00:00:00.028000,29,1,3,31.00342374625315
2020-06-12 00:00:00.029000,30,1,6,30.902435420658428
2020-06-12 00:00:00.030000,31,1,5,31.88352689194302
2020-06-12 00:00:00.031000,32,1,6,30.705991335283265
2020-06-12 00:00:00.032000,33,1,4,31.144930892006226
2020-06-12 00:00:00.033000,34,1,5,30.354627133693217
2020-06-12 00:00:00.034000,35,1,3,31.566955331529556
2020-06-12 00:00:00.035000,36,1,1,32.29163654806737
2020-06-12 00:00:00.036000,37,1,6,32.76960590891394
2020-06-12 00:00:00.037000,38,1,6,33.690772414922655
2020-06-12 00:00:00.038000,39,1,2,30.805257436442975
2020-06-12 00:00:00.039000,40,1,4,33.950909267023135
2020-06-12 00:00:00.040000,41,1,4,32.19040231893418
2020-06-12 00:00:00.041000,42,1,1,31.928045469084708
2020-06-12 00:00:00.042000,43,1,2,33.72972264349937
2020-06-12 00:00:00.043000,44,1,1,34.79556024216648
2020-06-12 00:00:00.044000,45,1,4,30.915625650274052
2020-06-12 00:00:00.045000,46,1,1,30.022371209866602
2020-06-12 00:00:00.046000,47,1,4,31.23991199729351
